timestamp,ip,port,session_id,event_type,packets,duration_sec
2026-04-20T08:18:25.446704,195.211.27.85,59804,a4ba62ca,CONNECT,0,0.0
2026-04-20T08:18:25.451344,195.211.27.85,59804,a4ba62ca,DISCONNECT,0,0.005
2026-04-20T08:18:25.478850,185.25.204.60,41900,be523b88,CONNECT,0,0.0
2026-04-20T08:18:25.479712,185.224.3.111,64538,2599868e,CONNECT,0,0.0
2026-04-20T08:18:25.484396,185.25.204.60,41900,be523b88,DISCONNECT,0,0.006
2026-04-20T08:18:25.486890,185.224.3.111,64538,2599868e,DISCONNECT,0,0.008
2026-04-20T08:18:25.496125,78.40.111.151,46680,ec7c9577,CONNECT,0,0.0
2026-04-20T08:18:25.499625,78.40.111.151,46680,ec7c9577,DISCONNECT,0,0.004
2026-04-20T08:18:25.505979,179.43.148.195,35688,4dd1a711,CONNECT,0,0.0
2026-04-20T08:18:25.509005,194.26.100.165,18526,6aabe943,CONNECT,0,0.0
2026-04-20T08:18:25.509681,179.43.148.195,35688,4dd1a711,DISCONNECT,0,0.004
2026-04-20T08:18:25.515071,194.26.100.165,18526,6aabe943,DISCONNECT,0,0.006
2026-04-20T08:18:25.523078,45.9.168.235,37796,255da011,CONNECT,0,0.0
2026-04-20T08:18:25.524480,195.137.244.1,48584,37fe90e2,CONNECT,0,0.0
2026-04-20T08:18:25.529740,45.9.168.235,37796,255da011,DISCONNECT,0,0.007
2026-04-20T08:18:25.530143,178.216.200.169,58980,78ed4c5d,CONNECT,0,0.0
2026-04-20T08:18:25.535183,195.137.244.1,48584,37fe90e2,DISCONNECT,0,0.011
2026-04-20T08:18:25.539520,65.109.182.130,57496,38d5020e,CONNECT,0,0.0
2026-04-20T08:18:25.548057,195.137.245.1,28550,e8964ff7,CONNECT,0,0.0
2026-04-20T08:18:25.548312,178.216.200.169,58980,78ed4c5d,DISCONNECT,0,0.019
2026-04-20T08:18:25.551153,65.109.182.130,57496,38d5020e,DISCONNECT,0,0.012
2026-04-20T08:18:25.565844,195.137.245.1,28550,e8964ff7,DISCONNECT,0,0.018
2026-04-20T08:18:25.603720,104.28.192.94,45374,d1c6f300,CONNECT,0,0.0
2026-04-20T08:18:25.607062,185.83.213.25,10520,0ae1bfed,CONNECT,0,0.0
2026-04-20T08:18:25.628041,88.119.179.10,45166,2cea6fc0,CONNECT,0,0.0
2026-04-20T08:18:25.629286,107.149.201.15,61902,8c363cf8,CONNECT,0,0.0
2026-04-20T08:18:25.646903,104.28.192.94,45374,d1c6f300,DISCONNECT,0,0.044
2026-04-20T08:18:25.647511,194.146.57.64,23576,b6b886d1,CONNECT,0,0.0
2026-04-20T08:18:25.650357,185.83.213.25,10520,0ae1bfed,DISCONNECT,0,0.046
2026-04-20T08:18:25.663512,88.119.179.10,45166,2cea6fc0,DISCONNECT,0,0.048
2026-04-20T08:18:25.668396,185.130.104.238,40886,426cf44b,CONNECT,0,0.0
2026-04-20T08:18:25.669276,107.149.201.15,61902,8c363cf8,DISCONNECT,0,0.04
2026-04-20T08:18:25.669522,178.17.171.235,27568,5c29be5a,CONNECT,0,0.0
2026-04-20T08:18:25.699683,185.86.77.126,1304,df83e1b5,CONNECT,0,0.0
2026-04-20T08:18:25.703664,185.130.104.238,40886,426cf44b,DISCONNECT,0,0.056
2026-04-20T08:18:25.703781,194.146.57.64,23576,b6b886d1,DISCONNECT,0,0.062
2026-04-20T08:18:25.723450,78.40.116.61,30130,7ebbd1fc,CONNECT,0,0.0
2026-04-20T08:18:25.747173,178.17.171.235,27568,5c29be5a,DISCONNECT,0,0.078
2026-04-20T08:18:25.752000,91.231.182.39,10660,fbe97fa2,CONNECT,0,0.0
2026-04-20T08:18:25.754542,185.86.77.126,1304,df83e1b5,DISCONNECT,0,0.069
2026-04-20T08:18:25.771501,83.143.119.103,46340,a0096a59,CONNECT,0,0.0
2026-04-20T08:18:25.776490,78.40.116.61,30130,7ebbd1fc,DISCONNECT,0,0.054
2026-04-20T08:18:25.795803,185.221.199.82,45998,3d17d1a7,CONNECT,0,0.0
2026-04-20T08:18:25.804757,91.231.182.39,10660,fbe97fa2,DISCONNECT,0,0.054
2026-04-20T08:18:25.810279,91.199.41.71,33404,c82209d1,CONNECT,0,0.0
