timestamp,ip,port,msg_id,msg_name,intent,severity,payload_hex,session_id,honeypot_state,packet_rate
2026-04-20T08:18:25.428079,10.anon.76.108,30288,0,NON_MAVLINK_PROBE,SCANNER,0,,349b2ac1,NORMAL,0.0
2026-04-20T08:18:25.433545,10.anon.84.234,4760,0,NON_MAVLINK_PROBE,SCANNER,0,,1af0b89f,NORMAL,0.0
2026-04-20T08:18:25.449130,10.anon.155.111,59804,0,NON_MAVLINK_PROBE,SCANNER,0,,a4ba62ca,NORMAL,0.0
2026-04-20T08:18:25.481053,10.anon.57.205,41900,0,NON_MAVLINK_PROBE,SCANNER,0,,be523b88,NORMAL,0.0
2026-04-20T08:18:25.482147,10.anon.21.122,64538,0,NON_MAVLINK_PROBE,SCANNER,0,,2599868e,NORMAL,0.0
2026-04-20T08:18:25.497835,10.anon.76.1,46680,0,NON_MAVLINK_PROBE,SCANNER,0,,ec7c9577,NORMAL,0.0
2026-04-20T08:18:25.508283,10.anon.115.181,35688,0,NON_MAVLINK_PROBE,SCANNER,0,,4dd1a711,NORMAL,0.0
2026-04-20T08:18:25.513340,10.anon.46.40,18526,0,NON_MAVLINK_PROBE,SCANNER,0,,6aabe943,NORMAL,0.0
2026-04-20T08:18:25.526240,10.anon.37.241,37796,0,NON_MAVLINK_PROBE,SCANNER,0,,255da011,NORMAL,0.0
2026-04-20T08:18:25.528979,10.anon.118.112,48584,0,NON_MAVLINK_PROBE,SCANNER,0,,37fe90e2,NORMAL,0.0
2026-04-20T08:18:25.540889,10.anon.122.216,58980,0,NON_MAVLINK_PROBE,SCANNER,0,,78ed4c5d,NORMAL,0.0
2026-04-20T08:18:25.543748,10.anon.154.47,57496,0,NON_MAVLINK_PROBE,SCANNER,0,,38d5020e,NORMAL,0.0
2026-04-20T08:18:25.564486,10.anon.181.17,28550,0,NON_MAVLINK_PROBE,SCANNER,0,,e8964ff7,NORMAL,0.0
2026-04-20T08:18:25.627541,10.anon.150.46,45374,0,NON_MAVLINK_PROBE,SCANNER,0,,d1c6f300,NORMAL,0.0
2026-04-20T08:18:25.628366,10.anon.198.43,10520,0,NON_MAVLINK_PROBE,SCANNER,0,,0ae1bfed,NORMAL,0.0
2026-04-20T08:18:25.630739,10.anon.33.112,45166,0,NON_MAVLINK_PROBE,SCANNER,0,,2cea6fc0,NORMAL,0.0
2026-04-20T08:18:25.640815,10.anon.141.139,61902,0,NON_MAVLINK_PROBE,SCANNER,0,,8c363cf8,NORMAL,0.0
2026-04-20T08:18:25.695335,10.anon.215.14,40886,0,NON_MAVLINK_PROBE,SCANNER,0,,426cf44b,NORMAL,0.0
2026-04-20T08:18:25.691615,10.anon.149.172,23576,0,NON_MAVLINK_PROBE,SCANNER,0,,b6b886d1,NORMAL,0.0
2026-04-20T08:18:25.712911,10.anon.6.61,27568,0,NON_MAVLINK_PROBE,SCANNER,0,,5c29be5a,NORMAL,0.0
2026-04-20T08:18:25.720681,10.anon.27.82,1304,0,NON_MAVLINK_PROBE,SCANNER,0,,df83e1b5,NORMAL,0.0
